ASCII SCAN ANALOG DATA:			15.02.19 ei -8 2c5nba_run2 200um 7.1-6 55c.sac
DATE:	15/02/2019	TIME:	17:16:34 PM
Number of stored SCA cycles			1
Converted SCA cycle			1
INFO SCAN:		1
Data Titel	Ion Current
Data Unit	A
Scan Titel	Mass
Scan Unit	amu
Comment	
First Mass	  1.00
Scan Width	220
Values/Mass	64
Zoom Start	  1.00
Zoom End	221.00
Cycle	CycleDate	CycleTime	
1	15/02/2019	17:16:35:34 PM
ScanData	1
   1.00	1.03125E-009
   1.02	1.02813E-009
   1.03	1.00625E-009
   1.05	9.5625E-010
   1.06	9E-010
   1.08	8.46875E-010
   1.09	8E-010
   1.11	7.625E-010
   1.13	7.34375E-010
   1.14	7.125E-010
   1.16	6.9375E-010
   1.17	6.78125E-010
   1.19	6.75E-010
   1.20	6.75E-010
   1.22	6.71875E-010
   1.23	6.46875E-010
   1.25	6.125E-010
   1.27	5.75E-010
   1.28	5.375E-010
   1.30	4.96875E-010
   1.31	4.53125E-010
   1.33	4.1875E-010
   1.34	3.96875E-010
   1.36	3.875E-010
   1.38	3.8125E-010
   1.39	3.75E-010
   1.41	3.5625E-010
   1.42	3.34375E-010
   1.44	3.09375E-010
   1.45	2.875E-010
   1.47	2.65625E-010
   1.48	2.4375E-010
   1.50	2.21875E-010
   1.52	2.03125E-010
   1.53	1.9375E-010
   1.55	1.875E-010
   1.56	1.84375E-010
   1.58	1.8125E-010
   1.59	1.78125E-010
   1.61	1.75E-010
   1.63	1.71875E-010
   1.64	1.65625E-010
   1.66	1.625E-010
   1.67	1.59375E-010
   1.69	1.5625E-010
   1.70	1.5625E-010
   1.72	1.53125E-010
   1.73	1.53125E-010
   1.75	1.53125E-010
   1.77	1.53125E-010
   1.78	1.5625E-010
   1.80	1.5625E-010
   1.81	1.5625E-010
   1.83	1.59375E-010
   1.84	1.59375E-010
   1.86	1.59375E-010
   1.88	1.5625E-010
   1.89	1.53125E-010
   1.91	1.5E-010
   1.92	1.46875E-010
   1.94	1.46875E-010
   1.95	1.46875E-010
   1.97	1.5E-010
   1.98	1.53125E-010
   2.00	1.5625E-010
   2.02	1.5625E-010
   2.03	1.5625E-010
   2.05	1.59375E-010
